# DDL
DROP DATABASE coredb
CREATE DATABASE coredb

# DML
# CONTEXT-DATABASE: coredb

int2_tbl f1=0i 0000000000000000001
int2_tbl f1=1234i 0000000000000000002
int2_tbl f1=-1234i 0000000000000000003
int2_tbl f1=35i 0000000000000000004
int2_tbl f1=32767i 0000000000000000005
int2_tbl f1=-32767i 0000000000000000006

int4_tbl f1=0i 0000000000000000001
int4_tbl f1=123456i 0000000000000000002
int4_tbl f1=-123456i 0000000000000000003
int4_tbl f1=2147483647i 0000000000000000005
int4_tbl f1=-2147483647i 0000000000000000006

int8_tbl q1=123i,q2=456i 0000000000000000001
int8_tbl q1=123i,q2=4567890123456789i 0000000000000000002
int8_tbl q1=4567890123456789i,q2=123i 0000000000000000003
int8_tbl q1=4567890123456789i,q2=4567890123456789i 0000000000000000004
int8_tbl q1=4567890123456789i,q2=-4567890123456789i 0000000000000000005

text_tbl f1="doh!" 0000000000000000001
text_tbl f1="hi de ho neighbor" 0000000000000000002

bitwise_test i2=1i,i4=1i,i8=1i,i=1i,x=1i,y="0101" 0000000000000000001
bitwise_test i2=3i,i4=3i,i8=3i,x=2i,y="0100" 0000000000000000002
bitwise_test i2=7i,i4=7i,i8=7i,i=3i,x=4i,y="1100" 0000000000000000003

bool_test b1=true,b3=false 0000000000000000001
bool_test b1=false,b2=true 0000000000000000002
bool_test b2=true,b3=false 0000000000000000003

minmaxtest f1=11i 0000000000000000001
minmaxtest f1=12i 0000000000000000002

varchar_tbl f1="a" 0000000000000000001
varchar_tbl f1="ab" 0000000000000000002
varchar_tbl f1="abcd" 0000000000000000003

multi_arg_agg a=1i,b=3i,c="foo" 0000000000000000001
multi_arg_agg a=0i 0000000000000000002
multi_arg_agg a=2i,b=2i,c="bar" 0000000000000000003
multi_arg_agg a=3i,b=1i,c="baz" 0000000000000000004

multi_arg_agg2 a=1i,b=3i,c="foo" 0000000000000000001
multi_arg_agg2 a=0i 0000000000000000002
multi_arg_agg2 a=2i,b=2i,c="bar" 0000000000000000003
multi_arg_agg2 a=3i,b=1i,c="baz" 0000000000000000004
